epoch,acc,loss,val_acc,val_loss
0,0.91990740739,0.261290907889,0.967666666349,0.109340751847
1,0.967425925873,0.106564050106,0.976000000159,0.0808455100246
2,0.976,0.0776822410914,0.979166666826,0.074766151594
3,0.981388888836,0.0616348130747,0.978333332856,0.0779139559418
4,0.98394444448,0.0527058027767,0.979833332856,0.0743254296534
5,0.987370370388,0.0425639753197,0.978333333492,0.0964398433386
6,0.987722222222,0.0389679551389,0.979833332856,0.0909240628264
7,0.989944444462,0.0338805047871,0.981499999523,0.0907409468004
8,0.990481481446,0.0320566738351,0.982333332856,0.0815402435665
9,0.99137037037,0.027976956404,0.980999999523,0.0963279508944
10,0.992555555573,0.0247137706688,0.982666666826,0.0866539237088
11,0.99272222224,0.0241561340812,0.98366666619,0.0862091367419
12,0.993296296243,0.0227978423587,0.984999999523,0.0860790800468
13,0.993814814815,0.0211521642968,0.984333332856,0.0859786401469
14,0.993981481428,0.0201570554158,0.983333333651,0.0904316703991
15,0.995,0.0199435358417,0.982833333492,0.114346046341
16,0.994777777778,0.0179848651538,0.98516666619,0.0928539051237
17,0.994944444444,0.0180853755754,0.98316666619,0.112324363636
18,0.995407407407,0.0176594613356,0.984000000159,0.102701160701
19,0.995407407407,0.0158347493095,0.98416666619,0.102527822163
